,Average score,Additional score,Optimization score,At least one,Length of correlation,Lambda,N
2914,0.0,0.0,0.0,0,0.5,10,1
2915,0.0,0.0,1.0,0,0.5,10,1
2916,0.0,0.0,1.0,0,0.5,10,1
2917,0.0,0.0,1.0,0,0.5,10,1
2918,0.0,0.0,1.0,0,0.5,10,1
2919,0.0,0.0,1.0,0,0.5,10,1
2920,0.0,0.0,0.9,0,0.5,10,10
2921,0.0,0.0,1.0,0,0.5,10,10
2922,0.0,0.0,1.0,0,0.5,10,10
2923,0.0,0.0,1.0,0,0.5,10,10
2924,0.0,0.0,0.7,0,0.5,10,10
2925,0.0,0.0,1.0,0,0.5,10,10
2926,0.1,0.1,1.0,1,0.5,10,10
2927,0.2,0.2,1.0,1,0.5,10,10
2928,0.0,0.0,1.0,0,0.5,10,10
2929,0.0,0.0,1.0,0,0.5,10,10
2930,0.07,0.07,1.0,1,0.5,10,100
2931,0.07,0.07,0.96,1,0.5,10,100
2932,0.05,0.05,0.96,1,0.5,10,100
2933,0.02,0.03,0.96,1,0.5,10,100
2934,0.09,0.09,0.99,1,0.5,10,100
2935,0.04,0.04,0.95,1,0.5,10,100
2936,0.03,0.03,0.97,1,0.5,10,100
2937,0.02,0.04,0.97,1,0.5,10,100
2938,0.01,0.01,0.98,1,0.5,10,100
2939,0.02,0.02,0.97,1,0.5,10,100
2940,0.0,0.0,1.0,0,0.5,100,1
2941,0.0,0.0,1.0,0,0.5,100,1
2942,0.0,0.0,1.0,0,0.5,100,1
2943,0.0,0.0,1.0,0,0.5,100,1
2944,0.0,0.0,0.0,0,0.5,100,1
2945,1.0,1.0,1.0,1,0.5,100,1
2946,0.0,0.0,1.0,0,0.5,100,1
2947,0.0,0.0,1.0,0,0.5,100,1
2948,0.0,0.0,1.0,0,0.5,100,1
2949,1.0,1.0,1.0,1,0.5,100,1
2950,0.1,0.1,1.0,1,0.5,100,10
2951,0.0,0.0,0.9,0,0.5,100,10
2952,0.1,0.1,1.0,1,0.5,100,10
2953,0.0,0.0,0.9,0,0.5,100,10
2954,0.1,0.1,0.8,1,0.5,100,10
2955,0.1,0.1,1.0,1,0.5,100,10
2956,0.0,0.0,1.0,0,0.5,100,10
2957,0.0,0.0,0.9,0,0.5,100,10
2958,0.0,0.0,0.9,0,0.5,100,10
2959,0.0,0.0,1.0,0,0.5,100,10
2960,0.08,0.08,0.91,1,0.5,100,100
2961,0.08,0.09,0.92,1,0.5,100,100
2962,0.08,0.09,0.92,1,0.5,100,100
2963,0.1,0.1,0.94,1,0.5,100,100
2964,0.06,0.06,0.92,1,0.5,100,100
2965,0.04,0.05,0.88,1,0.5,100,100
2966,0.06,0.07,0.91,1,0.5,100,100
2967,0.04,0.06,0.94,1,0.5,100,100
