smiles,value
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OCCCN1CCOCC1,7.74473
CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@@H](O)C1,5.34
CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1,5.7
CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,6.284
CNC(=O)NCc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)n1,7.64
O=C(Cc1ccc(Cl)cc1)NS(=O)(=O)c1ccc(F)cc1,5.02
C=CC(=O)Nc1cccc(-n2c(=O)cnc3cnc(Nc4ccc(N(CC)CC)cc4)nc32)c1,7.84
CCOc1cc2ncnc(Nc3cccc(-c4ccco4)c3)c2cc1OCC,8.52288
C=CC(=O)Nc1ccc(C(=O)Nc2cccc(Cl)c2)c(O)c1,6.44
Cc1cc2cc(Nc3ncnc4cc(-c5ccccc5)sc34)ccc2[nH]1,7.0
CC(C)(C)OC(=O)NCCNC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1,6.0
COc1ccc(NC(=O)Nc2ccc(-c3cccc4onc(N)c34)cc2)cc1Cl,5.7
O=S1CCN(Cc2ccc(-c3ccc4ncnc(Nc5ccc(OCc6cccc(F)c6)c(Cl)c5)c4c3)o2)CC1,7.55284
O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(NCc4cccc(Oc5ccccc5)c4)c3s2)C1)N1CCOCC1,6.74
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,9.19
Cn1[c]c(C(=O)O)c2ccccc21,5.46
COCCOC1CCC(n2nc(-c3ccc(Nc4nc5cc(C)cc(C)c5o4)cc3)c3c(N)ncnc32)CC1,6.7
O=C(O)Cn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,7.28001
O=[N+]([O-])c1cccc2ncnc(Nc3cccc(Br)c3)c12,6.45
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC[C@H]1CC(N)=O,6.89
C/C=C/C(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,5.79
Nc1ncnc2c1c(-c1cccc(O)c1F)nn2C1CCCC1,5.75
O=[N+]([O-])c1cccc2c1sc1c(Nc3cccc(Br)c3)ncnc12,6.8
NC(=O)CN1CCC(n2cc(-c3cccc(O)c3)c3c(N)ncnc32)CC1,6.77
Cc1cc2cc(Nc3ccnc4cc(-c5ccc(CN(C)CCO)cc5)sc34)ccc2[nH]1,6.85
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)CC=CN2CCOCC2)CCO4)c1,7.92082
COc1cc2ncc(C(=O)O)c(Nc3cccc(Br)c3)c2cc1OC,5.06
Cc1cccc(Nc2ncnc3ccncc23)c1NCCCCN(C)C,8.26
C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,5.28166
COc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1OC,5.52
Nc1cc2ncnc(NCc3ccccc3[N+](=O)[O-])c2cn1,5.37
c1ccc(COc2ccc(Nc3ncnc4ccc(-c5ccco5)cc34)cc2)cc1,7.26
O=C(Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1)N1CCCC(F)(F)C1,6.05355
CSC1CCN(C/C=C/C(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3s2)CC1,7.74473
O=C(NCc1ccccc1)Nc1ncc([N+](=O)[O-])s1,5.7
CNc1ncc2ncnc(Nc3cccc(C)c3)c2n1,8.37
CN(/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1)C(=O)OCCl,6.41
N#CC(C#N)=Cc1cc(O)cc(O)c1,5.0
O=C(NCCc1ccccc1)c1cc2ccc(O)c(O)c2cn1,5.85
Cc1cccc(Nc2[nH]cnc3nc4c(c2-3)CCCC4)c1,6.09
CCOC(=O)C(C#N)C=Nc1ccc2ncnc(Nc3ccccc3CC)c2c1,5.6
CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(NC(=O)NC4CCCCC4)nc3n2)CC1,6.06
C=NNNc1ccc2ncnc(Nc3cccc(C)c3)c2c1,6.7
C=NNNc1ccc2ncnc(Nc3cccc(C)c3)c2c1,6.7
COc1cc(N2CCN(C(C)C)CC2)ccc1Nc1nc(Nc2cccc(F)c2C(=O)O)c2cc[nH]c2n1,5.98
Brc1cccc(Nc2ncnc3ccc(NCCCN4CCCCC4)cc23)c1,9.39
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCNC(C)(C)C,7.0
Cc1cccc(Nc2nccc(Nc3c(NC(C)C(C)(C)C)c(=O)c3=O)n2)c1,5.7
O=C1NC(=O)N(CCc2ccccc2)/C1=C/c1cccc(O)c1,5.05
Clc1cc(-c2c[nH]c3ncccc23)nc(NC2CCCCC2)n1,5.7
COc1cc(/C=C2\CCC/C(=C\c3ccccc3F)C2=O)cc(OC)c1,5.68
OC[C@@H](Nc1ncnc2oc(-c3ccccc3)c(-c3ccc4c(c3)OCO4)c12)c1ccccc1,6.59
